time,outfall_gate_setting,inlet_gate_setting,pump_setting,pump_station_depth_m,pump_station_full_ratio,pump_station_operating_ratio,discharge_pipe_depth_m,discharge_pipe_full_ratio,discharge_node_depth_m,trunk_downstream_depth_m,trunk_drop_depth_m,pump_flow_cms,inlet_gate_flow_cms,outfall_gate_flow_cms
01:46:00,0.0,1.0,1.0,0.29930324863080215,0.12470968692950091,0.37412906078850267,0.9992363969988278,0.5551313316660155,0.912936822066351,0.20211644560558767,0.26456849697270174,0.1496513906337484,0.14549581973818723,0.0
01:47:00,0.0,1.0,1.0,0.2899906441720424,0.12082943507168434,0.362488305215053,1.0272044582601227,0.5706691434778459,0.9232649755087858,0.19973734786341285,0.2647356671204848,0.14499511791668623,0.14140775928632426,0.0
01:48:00,0.0,1.0,1.0,0.2820075285198375,0.11750313688326564,0.35250941064979685,1.0614399359107998,0.5896888532837776,1.0001424841933209,0.1977531853266649,0.26473742775066705,0.14100358901704962,0.13794823765433784,0.0
01:49:00,0.0,1.0,1.0,0.27523701793880667,0.11468209080783612,0.3440462724235083,1.0858198541561337,0.6032332523089632,0.9877023131082334,0.1960916991883092,0.2645620252929278,0.1376183603919729,0.13503603037657913,0.0
01:50:00,0.0,1.0,1.0,0.2695210961494217,0.11230045672892572,0.3369013701867771,1.114900329172991,0.6193890717627728,1.0245888665566418,0.19468594933789735,0.2642038174457231,0.1347604229008946,0.1325802832181166,0.0
01:51:00,0.0,1.0,1.0,0.2646837734881714,0.11028490562007143,0.3308547168602142,1.1455785536046679,0.636432529780371,1.0800060976437773,0.1934761422497248,0.26366374909624835,0.1323417812335876,0.13048954717295425,0.0
01:52:00,0.0,1.0,1.0,0.2605484096834925,0.10856183736812189,0.32568551210436564,1.168276314434068,0.6490423969078155,1.0595194731007915,0.19241044928153167,0.2629438786249272,0.1302741151847609,0.12867800912039817,0.0
01:53:00,0.0,1.0,1.0,0.25694890420758404,0.10706204341982668,0.32118613025948,1.2003529577331564,0.666862754296198,1.1328793658065124,0.19144475551142942,0.26204552728074926,0.12847437469894815,0.1270684533933341,0.0
01:54:00,0.0,1.0,1.0,0.2537347116939217,0.10572279653913405,0.3171683896174021,1.2250773400501183,0.6805985222500657,1.1346497000440277,0.19054221365478055,0.26097337774414764,0.12686728745027911,0.12559231064962617,0.0
01:55:00,0.0,1.0,1.0,0.2507687996300303,0.10448699984584596,0.31346099953753787,1.2521159517295501,0.6956199731830834,1.159223332201503,0.1896728023737297,0.259733001185563,0.1253843378616497,0.12418390601500244,0.0
01:56:00,0.0,1.0,0.0,0.39416533218336197,0.16423555507640084,0.4927066652292024,1.2617185279819412,0.7009547377677451,1.1834502577661306,0.18893317662211132,0.25833143884156357,0.0,0.04257546915829408,0.0
01:57:00,0.0,1.0,0.0,0.476092313642619,0.19837179735109126,0.5951153920532737,1.2596560984251717,0.6998089435695398,1.1628553675743354,0.19152116440121203,0.25672333543273196,0.0,0.02995162513109639,0.0
01:58:00,0.0,1.0,0.0,0.5350953095219124,0.2229563789674635,0.6688691369023905,1.2625067872085496,0.7013926595603053,1.1911419664874254,0.19813537592265817,0.2547663737013409,0.0,0.024896600578985146,0.0
01:59:00,0.0,1.0,0.0,0.5380233751294062,0.22417640630391927,0.6725292189117578,1.2596553156765926,0.6998085087092181,1.1628475775946852,0.2203727260235695,0.252085335025095,0.0,2.8320000000000003e-05,0.0
02:00:00,0.0,1.0,0.0,0.528878208447544,0.22036592018647666,0.6610977605594299,1.2617291983568746,0.7009606657538192,1.183554744285703,0.24664635904590484,0.24813112413767457,0.0,-2.8320000000000003e-05,0.0
02:01:00,0.0,1.0,0.0,0.5745687585017321,0.2394036493757217,0.718210948127165,1.2609489288782132,0.7005271827101184,1.175846780163041,0.258799425725213,0.24356292875408012,0.0,-2.8320000000000003e-05,0.0
02:02:00,0.0,1.0,0.0,0.602270009289063,0.2509458372037763,0.7528375116113287,1.2602250568691442,0.700125031593969,1.1686072016388542,0.27390185971835357,0.23919519167236336,0.0,2.8320000000000003e-05,0.0
02:03:00,0.0,1.0,0.0,0.5893437245645481,0.24555988523522837,0.736679655705685,1.262257550115213,0.7012541945084516,1.188720488256154,0.2986976006129213,0.235023091666799,0.0,2.8320000000000003e-05,0.0
02:04:00,0.0,1.0,0.0,0.620913672941115,0.25871403039213126,0.7761420911763937,1.2595034234283298,0.6997241241268498,1.1613024340308042,0.31075287252364897,0.2310307400348538,0.0,0.004607093723124379,0.0
02:05:00,0.0,1.0,0.0,0.6492301103673326,0.2705125459863886,0.8115376379591657,1.2622478093212355,0.7012487829562419,1.188625498103088,0.3227154483033844,0.22719895593998263,0.0,2.8320000000000003e-05,0.0
02:06:00,0.0,1.0,0.0,0.6359297946377693,0.26497074776573726,0.7949122432972117,1.260233043198826,0.7001294684437922,1.1686878057634351,0.3445567740406304,0.22352493323492037,0.0,2.8320000000000003e-05,0.0
02:07:00,0.0,1.0,0.0,0.6695489274719512,0.2789787197799797,0.8369361593399389,1.260958269687681,0.7005323720487117,1.1759393026476745,0.35345581320633707,0.21999725281391244,0.0,-2.8320000000000003e-05,0.0
02:08:00,0.0,1.0,0.0,0.6852702248822605,0.28552926036760856,0.8565877811028256,1.2616893787415384,0.7009385437452991,1.183163911653406,0.3662862881930969,0.21660227751172817,0.0,2.8320000000000003e-05,0.0
02:09:00,0.0,1.0,0.0,0.6765807129687289,0.28190863040363706,0.8457258912109111,1.2597261932453134,0.6998478851362853,1.163566957596416,0.3845058000972342,0.21333535725988315,0.0,2.8320000000000003e-05,0.0
02:10:00,0.0,1.0,0.0,0.7159246471006058,0.2983019362919191,0.8949058088757572,1.2624097215932082,0.701338734218449,1.1902000278624965,0.38999767651115197,0.21017487530784512,0.0,-2.8320000000000003e-05,0.0
02:11:00,0.0,1.0,0.0,0.7108362131719503,0.29618175548831266,0.8885452664649379,1.259745001092003,0.6998583339400016,1.163757909491735,0.40641844100980073,0.20711416822999842,0.0,-2.8320000000000003e-05,0.0
02:12:00,0.0,1.0,0.0,0.722264350442181,0.30094347935090876,0.9028304380527261,1.2616637077395605,0.7009242820775335,1.1829114170358184,0.4175813334678891,0.20415121098115913,0.0,-2.8320000000000003e-05,0.0
02:13:00,0.0,1.0,0.0,0.7483064889585072,0.311794370399378,0.9353831111981339,1.2609702083423617,0.7005390046346454,1.1760582309067726,0.42468483304581034,0.2012750051778961,0.0,2.8320000000000003e-05,0.0
